,title,authors,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_family
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,652,2095690,27591,2006-09-16,Scholastic Inc.,Scholastic
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,870,2153167,29221,2004-09-01,Scholastic Inc.,Scholastic
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,352,6333,244,2003-11-01,Scholastic,Scholastic
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,435,2339585,36325,2004-05-01,Scholastic Inc.,Scholastic
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,2690,41428,164,2004-09-13,Scholastic,Scholastic
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,152,19,1,2005-04-26,Nimble Books,Nimble Books
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,3342,28242,808,2005-09-12,Scholastic,Scholastic
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,815,3628,254,2005-11-01,Gramercy Books,Gramercy
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,815,249558,4080,2002-04-30,Del Rey Books,Del Rey
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,215,4930,460,2004-08-03,Crown,Crown
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,6,1266,253,2005-03-23,Random House Audio,Random House Audio
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,815,2877,195,1996-01-17,Wings Books,Wings Books
12,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,544,248558,9396,2004-09-14,Broadway Books,Broadway Books
13,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,55,7270,499,2002-12-03,Broadway Books,Broadway Books
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,256,2088,131,2004-09-14,Broadway Books,Broadway Books
15,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,335,72451,4245,2001-05-15,Broadway Books,Broadway Books
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,304,49240,2211,2000-06-28,Broadway Books,Broadway Books
17,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,299,45712,2257,1990-08-28,William Morrow Paperbacks,William Morrow
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,254,48701,2238,1993-03-28,William Morrow Paperbacks,William Morrow
