paper_id,year,top_level,primary_category,category,is_primary_category
2501.18393,2025,stat,stat.AP,stat.AP,True
2109.14401,2021,cs,cs.CL,cs.CL,True
2106.10669,2021,stat,stat.ML,stat.ML,True
2106.10669,2021,stat,stat.ML,cs.LG,False
2405.13907,2024,cs,cs.CL,cs.CL,True
2405.13907,2024,cs,cs.CL,cs.AI,False
2404.17709,2024,stat,stat.ML,stat.ML,True
2404.17709,2024,stat,stat.ML,cs.LG,False
2502.00644,2025,stat,stat.AP,stat.AP,True
2011.06655,2020,cs,cs.LG,cs.LG,True
2011.06655,2020,cs,cs.LG,cs.PF,False
2509.18011,2025,stat,stat.ML,stat.ML,True
2509.18011,2025,stat,stat.ML,cs.LG,False
2509.18011,2025,stat,stat.ML,cs.MA,False
2509.18011,2025,stat,stat.ML,eess.SP,False
2102.10308,2021,stat,stat.AP,stat.AP,True
2102.10308,2021,stat,stat.AP,physics.soc-ph,False
2402.18326,2024,cs,cs.CY,cs.CY,True
2402.18326,2024,cs,cs.CY,cs.AI,False
2512.20949,2025,cs,cs.CL,cs.CL,True
2512.20949,2025,cs,cs.CL,cs.AI,False
2512.03943,2025,cs,cs.CL,cs.CL,True
2512.03943,2025,cs,cs.CL,cs.HC,False
2307.13634,2023,stat,stat.AP,stat.AP,True
2407.08259,2024,stat,stat.AP,stat.AP,True
2210.04508,2022,stat,stat.ML,stat.ML,True
2210.04508,2022,stat,stat.ML,cs.LG,False
2009.05304,2020,stat,stat.AP,stat.AP,True
2009.05304,2020,stat,stat.AP,stat.ME,False
2509.19975,2025,cs,cs.LG,cs.LG,True
2503.10496,2025,stat,stat.ML,stat.ML,True
2503.10496,2025,stat,stat.ML,cs.AI,False
2503.10496,2025,stat,stat.ML,cs.LG,False
2503.10496,2025,stat,stat.ML,stat.CO,False
2503.10496,2025,stat,stat.ML,stat.ME,False
2106.08929,2021,stat,stat.ML,stat.ML,True
2106.08929,2021,stat,stat.ML,cs.LG,False
2508.11205,2025,cs,cs.LG,cs.LG,True
2210.07880,2022,stat,stat.ML,stat.ML,True
2210.07880,2022,stat,stat.ML,cs.LG,False
2210.07880,2022,stat,stat.ML,cs.NA,False
2210.07880,2022,stat,stat.ML,math.NA,False
2205.01054,2022,stat,stat.ML,stat.ML,True
2205.01054,2022,stat,stat.ML,cs.LG,False
2205.01054,2022,stat,stat.ML,stat.AP,False
2509.24283,2025,cs,cs.DL,cs.DL,True
2509.24283,2025,cs,cs.DL,cs.CL,False
2004.12741,2020,stat,stat.AP,stat.AP,True
2211.01008,2022,stat,stat.ML,stat.ML,True
2211.01008,2022,stat,stat.ML,stat.AP,False
2102.12467,2021,stat,stat.ML,stat.ML,True
2102.12467,2021,stat,stat.ML,cs.CR,False
2102.12467,2021,stat,stat.ML,cs.LG,False
2507.08150,2025,stat,stat.ML,stat.ML,True
2507.08150,2025,stat,stat.ML,cs.LG,False
2507.08150,2025,stat,stat.ML,stat.ME,False
2502.11569,2025,cs,cs.CL,cs.CL,True
2502.11569,2025,cs,cs.CL,cs.AI,False
2502.11569,2025,cs,cs.CL,cs.LG,False
2205.09435,2022,stat,stat.ML,stat.ML,True
2205.09435,2022,stat,stat.ML,cs.AI,False
2205.09435,2022,stat,stat.ML,cs.LG,False
2205.09435,2022,stat,stat.ML,stat.CO,False
2012.14201,2020,cs,cs.HC,cs.HC,True
2502.12977,2025,stat,stat.ML,stat.ML,True
2502.12977,2025,stat,stat.ML,cs.AI,False
